Sl. No,Satellite Name,Launch Date,Launch Vehicle,Status,Mission Type,Orbit Type,NORAD ID,Operating Country,Operating Organization,Remarks
103,GSAT-7A,19-12-2018,GSLV-F11,Operational,Communications (Military),Geostationary Orbit (GEO),43864,India,Indian Air Force (satellite built by ISRO),N/A
104,Microsat-R (ASAT),24-01-2019,PSLV-C44,Not Operational,Technology Demonstration (Defense),Low Earth Orbit (LEO),43947,India,Defence Research and Development Organisation - DRDO (satellite built by ISRO; used as A-SAT test target),N/A
105,GSAT-31,06-02-2019,Ariane-5 VA247,Operational,Communications,Geostationary Orbit (GEO),44035,India,Indian Space Research Organisation (ISRO),N/A
106,EMISAT,01-04-2019,PSLV-C45,Operational,Earth Observation (Electronic Intelligence),Sun-Synchronous Orbit (SSO),44078,India,Defence Research and Development Organisation - DRDO (satellite built by ISRO),N/A
107,RISAT-2B,22-05-2019,PSLV-C46,Operational,Earth Observation (Radar Imaging),Low Earth Orbit (LEO),44233,India,Indian Space Research Organisation (ISRO),N/A
108,Chandrayaan-2,22-07-2019,GSLV Mk III M1,Operational,Space Science (Lunar Exploration),Lunar Orbit,44441,India,Indian Space Research Organisation (ISRO),Operational (Orbiter)
109,CARTOSAT-3,27-11-2019,PSLV-C47,Operational,Earth Observation,Sun-Synchronous Orbit (SSO),44804,India,Indian Space Research Organisation (ISRO),N/A
110,RISAT-2BR1,11-12-2019,PSLV-C48,Operational,Earth Observation (Radar Imaging),Low Earth Orbit (LEO),44857,India,Indian Space Research Organisation (ISRO),N/A
111,GSAT-30,17-01-2020,Ariane-5 VA251,Operational,Communications,Geostationary Orbit (GEO),45026,India,Indian Space Research Organisation (ISRO),N/A
112,EOS-01 (RISAT2BR2),11-07-2020,PSLV-C49,Operational,Earth Observation (Radar Imaging),Low Earth Orbit (LEO),46905,India,Indian Space Research Organisation (ISRO),N/A
113,CMS-01,17-12-2020,PSLV-C50,Operational,Communications,Geostationary Orbit (GEO),47256,India,Indian Space Research Organisation (ISRO),N/A
114,EOS-03 (GISAT-1),12-08-2021,GSLV-F10,Not Operational,Earth Observation,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
115,EOS-04(RISAT-1A),14-02-2022,PSLV-C52,Operational,Earth Observation (Radar Imaging),Sun-Synchronous Orbit (SSO),51656,India,Indian Space Research Organisation (ISRO),N/A
116,INS-2TD,14-02-2022,PSLV-C52,Not Operational,Technology Demonstration,Sun-Synchronous Orbit (SSO),51658,India,Indian Space Research Organisation (ISRO),N/A
117,GSAT-24,24-06-2022,ArianeV(VS257),Operational,Communications,Geostationary Orbit (GEO),52903,India,Indian Space Research Organisation (ISRO),N/A
118,EOS-02 (Microsat-2A),07-08-2022,SSLV-D1,Not Operational,Earth Observation/Technology Demonstration,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
119,EOS-06 (OS-3),26-11-2022,PSLV-C54,Operational,Earth Observation (Oceanography),Sun-Synchronous Orbit (SSO),54361,India,Indian Space Research Organisation (ISRO),N/A
